frequency,z_real,z_imag
0.01,25.10742809,-8.592288499
0.015849,23.69086689,-7.476107652
0.025055,22.55110424,-6.101988359
0.039414,21.50396018,-4.68778942
0.061562,20.72483926,-3.507593206
0.095305,20.19878977,-2.598012822
0.14602,19.83826646,-1.962109249
0.2212,19.61374605,-1.556640818
0.33106,19.43576014,-1.348364736
0.48933,19.25083621,-1.22708208
0.71422,19.07915986,-1.201365633
1.0295,18.90630847,-1.215895919
1.4659,18.65818819,-1.290390891
2.0626,18.46816994,-1.361643819
2.869,18.23503732,-1.459191544
3.947,17.97796256,-1.593959179
5.3733,17.6978371,-1.747294011
7.2422,17.38752215,-1.92776749
9.6687,17.02558999,-2.098547046
12.792,16.63372232,-2.280378349
16.782,16.18460282,-2.464116224
21.838,15.71330319,-2.600972362
28.2,15.21915222,-2.700030869
36.153,14.70148823,-2.762666918
46.033,14.20120275,-2.771748461
58.232,13.73669056,-2.738654803
73.211,13.26783887,-2.749766339
91.841,12.85693481,-2.679675796
115.21,12.4768184,-2.604863123
144.53,12.1306667,-2.52102098
181.31,11.8087739,-2.461971309
227.45,11.49783233,-2.43183279
285.33,11.21346426,-2.384692857
357.94,10.89989756,-2.400208022
449.03,10.56506559,-2.426376936
563.3,10.23114122,-2.384726888
706.64,9.86013707,-2.385660507
886.47,9.478839331,-2.362143991
1112.1,9.091428039,-2.320783294
1395,8.723357127,-2.244925431
1750.1,8.374840602,-2.148124947
2195.4,8.046342809,-2.043076026
2754.1,7.749818215,-1.923872452
3454.9,7.496242772,-1.80973091
4334.1,7.235892251,-1.720214123
5437,7.00361917,-1.613346895
6820.6,6.796392531,-1.51877934
8556.3,6.618414946,-1.42661944
10734,6.444371688,-1.356354191
13465,6.280456535,-1.301212443
16892,6.128951233,-1.249207761
21190,5.977765133,-1.218482917
26583,5.826066647,-1.200142868
33347,5.679035237,-1.181130045
41834,5.531724436,-1.176851111
52479,5.369582498,-1.177864589
65834,5.213655124,-1.186004889
82587,5.049762215,-1.188503184
103600,4.881770401,-1.205263453
129970,4.695299618,-1.23957492
163040,4.539763936,-1.27928503
204530,4.359948114,-1.303424398
256580,4.19802223,-1.248076848
321880,3.995013736,-1.263705366
403780,3.805281641,-1.25837297
506540,3.604007397,-1.326336302
635440,3.420207387,-1.343373867
797150,3.148164606,-1.404391458
1000000,2.946854753,-1.324211984
